"","1","2","3","4"
"Shock","-108.31 **","-108.31 *","-139 ***","-139 **"
"Shock SE","(44.73)","(55.75)","(46.44)","(59.2)"
"Shock x (Always PR)","","","126.96 ***","126.96 **"
"Shock x (Always PR) SE","","","(49.23)","(56.76)"
"Always PR","","","145.43 ***","145.43 ***"
"Always PR SE","","","(36.1)","(39.38)"
"Mc-Fadden R2","0.04","0.04","0.05","0.05"
"Time controls","Day","Day","Shock x Day","Shock x Day"
"Fixed effects","District","District","District","District"
"Observations","13542","13542","13542","13542"
